"RegionName","State","Metro","CountyName","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08"
"New York","NY","New York","Queens",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,599000,5e+05,575000,519000,545000,549000,549000,550000,560500,575000,599000,615000,650000,645000,638500,669000,675000,665000,669000
"Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,369000,369999.5,360000,349000,374000,365000,359000,374950,375000,385000,375000,359923,349999,359000,415000,415000,449000,450000,439000,429000,425000,435000,449945,459000,459000,469495,485000,475000,488000,479000,479500,489000,478800,495000,499000,519900,517000,515000,515000,517450,5e+05,510450,499000,5e+05,526500
"Chicago","IL","Chicago","Cook",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,201750,205000,189000,199900,215000,219900,214000,214950,215000,214000,209000,208900,196750,165000,169500,199900,2e+05,205000,209000,209000,214894,215000,215000,209000,2e+05,206000,209000,209949.5,210000,219000,220000,220000,219999.5,218600,223950,217900,214950,215000,214000,224250,225000,225000,229900,230000,235000,229000
"Houston","TX","Houston","Harris",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,141750,141000,149900,149900,148450,139900,150000,149000,152000,165000,156000,155000,149900,150000,151726,167475,169950,169900,167500,172150,174990,169900,173000,174875,170900,169900,172300,169999,165000,165000,159000,156888
"Philadelphia","PA","Philadelphia","Philadelphia",5,275000,279000,275000,275000,275000,275000,272450,265000,260000,259450,249999,249000,249999.5,259900,248500,229900,235000,234000,225000,227550,219900,199000,229900,219950,220443,228000,239900,233990,2e+05,219900,234900,235000,229950,235000,235000,239900,245000,239900,244950,249825,245000,239900,249950,249000,247000,249000,259000,259000,249950,259000,268250,269000,264500,265000,269900,275000,275000,269000,239900,235000,260000,269900,275000,274900,275000,280000,274900,269900,277450,285000,285000,280000,279750,289000,285000,284500,279900,283000,280000,276000,284950,285000,289000,293774,299500,299900,310000,309900,299900,299000,295000,294000
"Phoenix","AZ","Phoenix","Maricopa",6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,129000,129000,137500,120000,119450,136000,141450,142900,132499.5,142000,149999.5,149900,147250
"San Diego","CA","San Diego","San Diego",7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,249000,259000,255000,250000,260000,269900,265000,287000,289000,275000,265000,269900,275000,265000,259000,261500,274000,272450,280000,288000,310000,305000,295000,310000,310000,315000,322000,327000,329000,329000,324700,324900,334900,336500,325000,319900,319000,325000,341950,340000,349000,348250,351250,359949.5,354900,350000
"Dallas","TX","Dallas-Fort Worth","Dallas",8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,117500,120000,115900,121500,117450,119950,132000,129450,122500,117500,122250,120000,119950,122500,124995,128500,127000,129000,135000,135000,139900,139450,140000,139450,130000,134950,148500,151500,149500,154900,159950,160000,165000,168500,170000,170000,171900,169450,173700,174900,171250,179950,197000,179900,173000,175000,186000
"San Jose","CA","San Jose","Santa Clara",9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,329900,335000,329950,319450,329900,335000,374944,375888,354499.5,368000,375000,375000,365000,373500,384950,399500,399925,399000,395000,399000,397000,420000,448000,422500,425000,399950,399950,399950,419000,449000,473500,471500,439450,432500,429000,422000,435000,450000,469000,467000,470000,469975,464000,508888,429950,485000
"Jacksonville","FL","Jacksonville","Duval",10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65400,59900,66950,65000,69900,72500,69900,69900,68400,67400,66500,70900,69900,69900,65500,64900,69900,71000,75000,67800,66900,72900,69900,72900,67650,74000,82900,82500,77000,74950,79250,79700,84700,78749.5,84950,86480,86480,81000,80000,88000,79500,91700,98500,95000,95000,94250
