"RegionID","RegionName","County","State","Metro","SizeRank","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08"
6181,"New York","Queens","NY","New York",1,10.9100178434871,12.3227229751024,9.80936995153473,6.92963037499162,9.22728742321371,8.10303650631184,10.0677931802084,10.6419696272434,11.0396996928677,12.6590538336052,10.9264009471192,8.19413511507053,10.3658536585366,10.3695481245086,9.00979625626638,6.96791157423187,8.72675971179523,8.58163315230686,8.64245069096821,7.81375793899275,8.78457518695378,8.61481822365393,7.31818181818182,7.09031467102575,7.73755870771858,8.110300081103,5.63051099543185,4.73427836462153,6.26888217522659,5.43649286528132,5.77759465274916,6.79865521105715,6.74472376641905,6.7290014182907,6.25283446712018,5.83862846181513,6.99412365866122,8.47847723314257,6.32272680465452,4.0319893368877,5.11084069625946,4.37200754461479,5.27151791918991,5.33638269487326,6.24388943205048,5.60218465121883,5.97599164926931,4.40935369747174,6.55578594432435,6.93294149078279,5.18761249826926,3.79632871505027,4.60447555023483,4.30090545377974,5.2843662331038,6.12948299953423,6.35716891645385,6.43974241030359,5.73072098957658,4.73243369008841,6.51552765937515,7.90175438596491,6.32980034508257,4.09257391581294,5.22739153162572,4.8503220917014,7.03595821615106,6.87410493425335,7.76659778995598,7.79214966656223,6.38048322777387,5.5992236778263,8.06017494953379,7.48094567697461,7.14180460729898,3.91457179377929,6.46957085720463,6.00483463355675,7.40545942250039,7.54042288557214,8.85209036083001,9.11588157493133,7.96381597202952,6.55439235320892
12447,"Los Angeles","Los Angeles","CA","Los Angeles-Long Beach-Anaheim",2,16.5776642674716,16.2732637312755,14.6186440677966,13.8240150979004,15.3605015673981,12.7118644067797,13.9075721414624,13.483709273183,13.6697945726604,16.2761714855434,16.2141779788839,15.3387937453462,15.4641841220584,15.7150625339859,14.8760330578512,12.1470588235294,12.9282097110515,12.46875,10.4899497487437,9.56462118615015,8.64688856729378,8.11528251801289,7.68321513002364,8.3020442219441,6.78772157371379,7.24956063268893,6.45472061657033,5.38628944504897,6.38057594579334,5.0471436494731,6.46008403361345,6.98122291766972,7.80277644806127,8.3371298405467,8.83905013192612,11.4369501466276,11.9109947643979,13.6107498916342,12.5751271382339,7.95918367346939,12.0835405271009,10.4592996816735,10.8087961237421,12.6053499450348,13.4401114206128,13.4608814485822,14.9513912168957,14.0995656531908,14.1104294478528,13.1772575250836,10.7916102841678,7.94411177644711,9.37037037037037,7.83945986496624,9.4732853353543,8.90322580645161,9.39506590064211,8.75442549082717,11.5251026207768,11.5089514066496,11.3256955810147,11.4521452145215,8.74238624149051,6.27276406313234,7.22065348931021,8.21812596006144,9.22970159611381,8.21782178217822,8.02896725440806,10.1823708206687,10.0807657792402,11.3356766256591,10.5757931844888,10.0529100529101,9.49796472184532,6.45792563600783,8.47665847665848,7.63694522191124,8.71130309575234,6.42498205312276,8.41253079901443,9.54122340425532,10.2256699576869,10.5439642324888
17426,"Chicago","Cook","IL","Chicago",3,18.6315423404625,16.2177792465301,12.3432283677705,10.4241620905132,14.9525616698292,12.3620689655172,13.9572942643392,15.3766275261602,15.6981640559205,17.3672017209995,15.6470777135517,15.0983205333783,16.2183897774998,14.9805631933251,12.1975308641975,9.28074245939675,12.5103906899418,11.7981520966596,14.159109645507,12.9107742394954,12.1343445287107,11.4625681705503,12.163640341282,12.1816542709038,12.3716322339012,12.7754949570415,9.16643966221738,7.83694344163658,10.7822085889571,10.0212916962385,9.82189628077528,9.542451676046,9.5491029272899,10.13981905769,11.9047619047619,12.6372948290757,13.7417654808959,16.2567736556899,11.745465358311,8.96317829457364,12.2588565415644,11.2418705481573,12.4738219895288,13.6734922233412,14.8715144887917,15.3788766918896,17.0092497430627,16.0753880266075,20.8598174043684,20.0264454862363,13.6038496553518,9.38492636442391,12.9597197898424,11.0769230769231,13.1612018736433,13.6137667304015,14.3575214768781,14.1040160292708,14.55463728191,16.1449579831933,18.210933186085,17.9365830572646,13.7662337662338,8.90895410082769,11.6202690021896,11.041388518024,10.492700729927,12.2431865828092,12.4733799817463,14.4390929159141,15.3239840311188,15.9560996200929,18.2529191451862,16.7998120300752,12.9979570990807,8.22517135773662,11.4819759679573,11.0446985446985,12.3342175066313,11.8436344426836,13.7462235649547,14.718875502008,16.3342318059299,19.2904921165791
39051,"Houston","Harris","TX","Houston",4,14.6890499809233,13.5072012456209,10.6382978723404,10.1005867560771,13.1981795614398,11.2083333333333,14.1402271837054,14.1509433962264,14.6301593788312,16.1688570290721,13.5388216933281,12.5650260104042,10.8247422680412,11.0655737704918,10.9777015437393,9.39201451905626,9.93560257589696,11.4191729323308,11.5896980461812,11.8942731277533,12.6284246575342,13.455788124733,12.0922140060896,11.3667117726658,9.88647114474929,9.96629754453539,11.436170212766,8.60889395667047,9.50483779169038,8.52495793606282,9.20344456404736,7.82095425479587,8.03527682508574,8.08325266214908,8.95140664961637,8.88770622671634,9.9523241954708,11.2615384615385,10.3195739014647,6.00858369098712,7.76632302405498,7.16591349257586,8.26245443499393,6.88720173535792,6.69800235017626,10.1938711694809,8.88235294117647,8.92641737032569,10.6675392670157,10.1808439383791,8.70942201108472,8.75729774812344,10.9803921568627,11.5581565471836,11.5331491712707,12.1495327102804,9.75443383356071,9.46601941747573,12.4113475177305,14.5803698435277,15.717375630858,14.3933685003768,11.8146718146718,9.14927768860353,13.9498432601881,13.4423897581792,15.3342070773263,13.9146567717996,10.728628800918,13.8375350140056,12.8604382929642,13.7200223089794,13.8920780711825,14.1809290953545,12.5389893948846,8.38709677419355,12.8737034777303,11.663807890223,14.2088266953714,14.975845410628,15.401419989077,16.8508287292818,17.372182517867,16.8831168831169
13271,"Philadelphia","Philadelphia","PA","Philadelphia",5,16.3753581661891,18.854152320617,14.0086206896552,11.2905530941832,14.0750105351875,12.1536081024054,15.7729498932563,15.9009188973232,18.5278849993345,18.164011491251,18.0903866248694,15.7172995780591,17.3866236038218,17.0405405405405,16,11.6216216216216,14.4769230769231,13.6882716049383,15.9655273152206,16.6310323762981,17.9008567931457,17.4196553330228,16.8375520666453,17.6668266922708,18.7350645212681,17.4502997791101,15.8538574457674,11.1208100558659,15.0408624587028,12.4453001925433,15.5551878206189,15.7138242894057,17.287192955353,16.392939370683,16.7409293443666,16.0691421254802,18.2906824146982,20.8062212347246,15.0239234449761,11.3594353890103,13.9773716275022,12.0856985900018,14.4026733500418,18.3774578108066,19.8654228475302,19.5973768491688,20.1188843164152,17.3860182370821,21.1201690821256,21.5420835785756,17.0864427860697,13.6341263330599,16.1577181208054,14.3175201233088,15.4141693560781,16.6044776119403,17.9579776756402,19.4475313541832,18.9723926380368,16.5798199905258,18.1058047917672,18.2749921160517,14.8659626320065,11.9267654751526,13.987398739874,12.7550082705385,14.4333448157079,14.6605722024716,14.5833333333333,17.1174142480211,15.5821620683672,16.7645027624309,18.4339030345309,17.7376991770268,16.6010028653295,11.5116279069767,14.8842777334397,12.6909518213866,14.0399048142047,14.2777880525245,16.7562557924004,16.4959970210389,16.8328004513824,18.3487975762166
40326,"Phoenix","Maricopa","AZ","Phoenix",6,19.608756404285,22.0848056537102,17.3015144561726,19.3006993006993,19.6508504923903,16.4790634849167,16.6002656042497,14.6240988671473,13.3370226895407,11.2594312246082,11.7824773413897,10.2091020910209,10.302282541641,9.91940483570986,9.87421383647799,8.28402366863905,9.72320794889993,10.0227790432802,7.79109589041096,8.02469135802469,8.83352208380521,8.21771611526147,11.4438502673797,11.860718171926,10.9913793103448,11.8355065195587,12.5248508946322,11.5755627009646,11.5468409586057,11.4583333333333,12.6404494382022,12.1402877697842,11.6322701688555,10.7824427480916,12.2367101303912,14.3389199255121,15.1603498542274,18.3288409703504,16.6086956521739,15.4106689246401,20.1342281879195,19.1489361702128,19.9861687413555,20.7708779443255,17.7407675597393,16.7974882260597,15.1515151515152,15.6908665105386,14.8412698412698,18.4150943396226,14.6969696969697,12.7707244212099,17.8571428571429,17.9697351828499,16.9689877121123,18.4769775678867,14.4083384426732,12.80276816609,13.4175691937425,13.8870431893688,16.156914893617,16.247582205029,15.1636606546426,12.0749479528105,15.8720200752823,16.5386887182516,18.5102834908282,15.7721796276013,17.6008968609865,15.8720930232558,15.3701380175659,16.1016949152542,15.0767178118746,16.9847328244275,17.577353522054,13.0960376091336,16.9776119402985,17.6721511273614,17.0588235294118,17.2710510141364,15.6330749354005,15.1249155975692,15.1862464183381,16.4835164835165
18959,"Las Vegas","Clark","NV","Las Vegas",7,12.1320604614161,12.962962962963,13.3459835547122,12.8410030311381,15.3896529142109,13.383755343637,12.9927467675812,10.9727364523729,10.5334233625928,12.1284591732149,12.4330527926549,10.7921511627907,9.48558920102153,9.89412194231471,8.81728045325779,10.4276069017254,7.9428117553614,7.96060730406237,8.68300789364354,5.6869881710646,5.6353591160221,6.32029994643814,5.33573141486811,6.63381349507202,5.31077891424076,6.56223539373412,4.58252427184466,5.33504054630815,6.57130084935181,5.86129753914989,7.57381258023107,6.2782109150595,7.71103896103896,6.73346693386774,7.32548118356794,9.83832129342965,9.92448759439051,12.5043058904581,11.3581104550191,10.6240713224368,12.6526082130966,12.1410396219557,12.4956970740103,12.6989282234492,12.7435324177579,10.1006922592826,9.73101265822785,12.6848504765035,11.9614147909968,14.8039215686275,11.2110504336653,9.41689008042895,12.1435759812144,10.1826894279724,12.1862615587847,12.2052262587635,11.1220796314577,10.931790499391,12.4335499113999,11.7027501462844,12.2371495327103,12.6636311895276,11.9420989143546,9.19324577861163,11.6279069767442,10.906432748538,11.307519640853,9.71671388101983,8.57849876271652,8.94984760321419,9.4225797184717,10.3081232492997,10.3089533417402,9.44960212201591,8.59000684462697,6.13054453660296,7.85659801678108,7.03422053231939,6.82926829268293,5.85758039816233,5.66255778120185,5.77940577940578,6.67587476979742,8.88987173816895
6915,"San Antonio","Bexar","TX","San Antonio",8,9.63302752293578,5.23809523809524,6.64961636828644,12.7906976744186,11.0403397027601,10.5906313645621,15.2917505030181,10.7142857142857,15.0684931506849,16.6666666666667,13.2958801498127,10.7003891050584,9.85324947589099,12.4,8.75763747454175,10.9278350515464,10.6837606837607,11.7043121149897,11.7525773195876,13.1403118040089,15.6177156177156,10.4545454545455,12.1348314606742,11.4155251141553,9.47867298578199,11.7948717948718,16.4490861618799,9.31506849315068,9.04392764857881,8.52713178294574,9.2511013215859,9.32400932400932,10.4477611940299,11.6788321167883,12.4413145539906,10.1694915254237,8.29015544041451,8.48806366047745,10.6770833333333,7.44985673352436,12.7777777777778,7.88804071246819,12.6865671641791,11.6822429906542,8.24053452115813,13.0769230769231,14.0350877192982,12.9973474801061,12.280701754386,15.8208955223881,11.0759493670886,10.7843137254902,8.85245901639344,11.3333333333333,8.98550724637681,6.6006600660066,8.52941176470588,6.93877551020408,13.1067961165049,12.3853211009174,17.8137651821862,16.412213740458,7.69230769230769,4.70588235294118,6.36704119850187,3.97111913357401,5.16605166051661,8.57142857142857,8.26771653543307,9.05511811023622,11.7216117216117,10.801393728223,11.8110236220472,8.87096774193548,9.56521739130435,8.78048780487805,15.3846153846154,10.8571428571429,14.5833333333333,10.8374384236453,14.5077720207254,15.4228855721393,14.1414141414141,16.5
54296,"San Diego","San Diego","CA","San Diego",9,19.5076760190577,20.2626641651032,16.6853617498598,15.8752458555774,20.7629427792916,15.9600997506234,17.7303318635414,16.9218989280245,16.9346195069668,18.5779203421545,18.2011708355508,16.6708892829997,15.6629491945477,16.8619460010189,13.2183908045977,11.8938700823422,13.7692075926484,10.7415318889228,10.2858918582971,10.3777044371104,10.7050572166851,9.28030303030303,8.90516576715497,9.71098265895954,9.54135954135954,9.68430034129693,7.99648506151142,7.20580611715915,8.10950413223141,5.91932949188057,7.32530120481928,6.80207841284837,8.97722197409558,10.2277432712215,15.0903741067676,18.0521597392013,19.2786069651741,20.6437768240343,17.8995433789954,11.0138960370561,16.4784394250513,13.715710723192,14.9954421148587,17.5693527080581,15.2397764048249,18.4453227931489,21.7027746104143,24.3325705568268,23.3373158104341,24.1618969746525,16.1929371231697,12.8632938643703,16.9675090252708,14.0752032520325,14.7157190635452,12.0652173913043,12.2895622895623,10.0539291217257,14.6924250127097,15.3386454183267,15.6441717791411,16.4130434782609,12.4183006535948,7.7029840388619,11.4640883977901,10.6020942408377,10.2172636523782,11.4571746384872,11.6761805915932,11.8331716779825,12.330686595049,13.102480112307,9.99020568070519,8.12533191715348,8.93191755153029,7.85381026438569,8.51233094669849,7.36522399392559,8.38404327248141,7.85665058580289,11.9471947194719,14.7058823529412,14.9100257069409,15.7513578756789
38128,"Dallas","Dallas","TX","Dallas-Fort Worth",10,16.5605095541401,14.0318054256314,12.2261844116149,10.6821787414067,13.8215859030837,11.2388917929953,14.8748159057437,14.521782674011,14.6366427840328,16.569613552144,13.5294117647059,12.9877369007804,12.1798520204895,11.4369501466276,10.5555555555556,8.46905537459283,11.1640571817563,9.9933818663137,12.105602060528,11.5511551155116,14.7603833865815,14.5819831497084,15.2656355077337,16.2962962962963,15.6401384083045,14.5494830132939,12.3941493456505,8.47315436241611,10.9531772575251,9.16398713826367,10.8490566037736,12.01248049922,11.5625,13.3637053910402,13.0467571644042,12.6515151515152,16.4880461665293,15.7275021026072,11.7594254937163,10.1778656126482,12.4750499001996,11.3475177304965,11.4573785517874,12.3916811091854,11.2550607287449,10.786699107867,11.801730920535,8.09214412285883,11.6279069767442,14.5328719723183,10.2439024390244,9.86358866736621,12.8997867803838,8.12567713976165,9.38388625592417,7.14916151809356,8.92255892255892,8.76757650951199,7.91007493755204,11.890504704876,10.5311355311355,11.8446601941748,8.58050847457627,7.57396449704142,9.68553459119497,10.1818181818182,9.35093509350935,10.4008667388949,8.97435897435897,11.6716122650841,11.1566018423746,12.8898128898129,12.4079915878023,14.5945945945946,13.4146341463415,6.47921760391198,12.1706398996236,12.0892018779343,10.7692307692308,11.6947472745292,12.5886524822695,12.3938879456706,12.8205128205128,17.3839662447257
