"Date","RegionName","State","Metro","County","SizeRank","Zri","MoM","QoQ","YoY","ZriRecordCnt"
2017-08-31,"Manitou Springs","CO","Colorado Springs","El Paso",6346,1619,0.0106117353308365,0.0338441890166028,0.0961408259986459,2309
2017-08-31,"Demarest","NJ","New York","Bergen",6347,3562,0.00112422709387296,-0.0105555555555556,0.035164196454519,1701
2017-08-31,"Santa Rosa","TX","Brownsville","Cameron",6348,829,0.0159313725490196,0.0285359801488834,-0.0304093567251462,1850
2017-08-31,"Flippin","AR",,"Marion",6349,929,0.00215749730312837,0.0130861504907306,0.00323974082073434,2790
2017-08-31,"Woodford","VA","Richmond","Caroline",6350,1210,0.00665557404326123,0.00833333333333333,-0.0335463258785942,1609
2017-08-31,"La Center","WA","Portland","Clark",6351,1919,-0.00156087408949011,0.00366108786610879,0.0229211087420043,2543
2017-08-31,"Timberlake","NC","Durham","Person",6352,1192,0.00252312867956266,0.00252312867956266,-0.00996677740863787,1435
2017-08-31,"Lakeside","AZ","Show Low","Navajo",6353,1195,-0.00416666666666667,0.000837520938023451,0.0222412318220701,4202
2017-08-31,"Elsberry","MO","St. Louis","Lincoln",6354,945,0.00531914893617021,0.0117773019271949,0.0282916213275299,1840
2017-08-31,"East Allen Township","PA","Allentown","Northampton",6355,1552,0.00193673337637185,0.00193673337637185,0.0117340286831812,1587
2017-08-31,"Woodbourne-Hyde Park","OH","Dayton","Montgomery",6356,1711,0.000584795321637427,0.0190589636688505,0.036969696969697,3201
2017-08-31,"Winnebago","IL","Rockford","Winnebago",6357,1243,0.0105691056910569,0.0247320692497939,0.0454163162321278,1724
2017-08-31,"Ponce Inlet","FL","Daytona Beach","Volusia",6358,2142,0.00327868852459016,0.00563380281690141,0.0317919075144509,3208
2017-08-31,"Elkton","FL","Jacksonville","Saint Johns",6359,1537,0.000651041666666667,0.00919238345370978,0.00391900718484651,1280
2017-08-31,"Lincoln","MA","Boston","Middlesex",6360,3437,-0.0165951359084406,-0.0380632521690456,-0.0321036327794987,2053
2017-08-31,"Prosperity","SC","Newberry","Newberry",6361,1223,0.00328137817883511,0.00907590759075908,-0.0032599837000815,4904
2017-08-31,"Pelham","GA",,"Mitchell",6362,830,0.00484261501210654,0.00850546780072904,-0.0130796670630202,1630
2017-08-31,"Saint George","SC","Charleston","Dorchester",6363,1293,-0.00919540229885057,-0.0122230710466005,0.00154918667699458,2151
2017-08-31,"Hancock","MI","Houghton","Houghton",6364,906,-0.00110253583241455,0.0179775280898876,0.0145576707726764,2455
2017-08-31,"Village of Lakewood","IL","Chicago","McHenry",6365,2568,0.00587544065804935,0.0150197628458498,-0.0107858243451464,1472
2017-08-31,"Lancaster","MA","Worcester","Worcester",6366,1913,-0.0128998968008256,-0.0174627632254751,-0.00208659363588941,2434
2017-08-31,"Tioga","NY","Binghamton","Tioga",6367,1334,-0.00224382946896036,-0.0262773722627737,-0.0887978142076503,1071
2017-08-31,"Kent City","MI","Grand Rapids","Kent",6368,1313,0.0107775211701309,0.0478850758180367,0,1752
2017-08-31,"Vernon Township","PA","Meadville","Crawford",6369,1084,-0.0055045871559633,-0.0109489051094891,-0.0260557053009883,1468
2017-08-31,"Jay","ME",,"Franklin",6370,1067,0.00660377358490566,0.043010752688172,0.0691382765531062,1819
2017-08-31,"Mapleton","UT","Provo","Utah",6371,1761,-0.00452232899943471,-0.00956130483689539,0.0937888198757764,2489
2017-08-31,"Umatilla","OR","Hermiston-Pendleton","Umatilla",6372,1124,-0.000888888888888889,0.00446827524575514,0.0504672897196262,1251
2017-08-31,"Bay Harbor Islands","FL","Miami-Fort Lauderdale","Miami-Dade",6373,1936,0.00103412616339193,-0.00206185567010309,-0.0444225074037512,3965
2017-08-31,"Elm Grove","WI","Milwaukee","Waukesha",6374,2405,0.00711892797319933,0.0566783831282953,0.0755813953488372,2541
2017-08-31,"Hughesville","MD","Washington","Charles",6375,2112,0.000473709142586452,0.0163618864292589,0.0398818316100443,2790
2017-08-31,"Town of Southport","NY","Elmira","Chemung",6376,1220,-0.00732302685109845,-0.0121457489878542,0.012448132780083,1347
2017-08-31,"Wakefield","NH",,"Carroll",6377,1382,0.0638953040800616,0.16722972972973,0.181196581196581,3623
2017-08-31,"Bethel Township","PA","Lebanon","Lebanon",6378,1132,-0.011353711790393,0.00354609929078014,0.0337899543378995,971
2017-08-31,"Kutztown","PA","Reading","Berks",6379,1202,-0.00496688741721854,-0.0259319286871961,-0.0718146718146718,997
2017-08-31,"Baxter","TN","Cookeville","Putnam",6380,971,0.0242616033755274,0.0554347826086957,0.00413650465356774,2607
