"Date","RegionName","State","Metro","County","SizeRank","Zri","MoM","QoQ","YoY","ZriRecordCnt"
2017-08-31,"Andrews","TX","Andrews","Andrews",3841,1277,0.000783699059561128,0.000783699059561128,-0.0412912912912913,3712
2017-08-31,"Merriam","KS","Kansas City","Johnson",3842,1365,0.00738007380073801,0.0148698884758364,0.0348749052312358,3892
2017-08-31,"Burkburnett","TX","Wichita Falls","Wichita",3843,864,0.0117096018735363,0.0188679245283019,-0.0181818181818182,3834
2017-08-31,"Lower Saucon Township","PA","Allentown","Northampton",3844,1716,0.0159857904085258,0.0232558139534884,0.12303664921466,3796
2017-08-31,"Ridgefield","NJ","New York","Bergen",3845,2364,0.011986301369863,0.0106883283454468,-0.0178645616950561,2499
2017-08-31,"North Fayette Township","PA","Pittsburgh","Allegheny",3846,1519,-0.00328083989501312,0.0113182423435419,-0.0440528634361234,2459
2017-08-31,"Reading","OH","Cincinnati","Hamilton",3847,1139,0.00352422907488987,0.00707338638373121,-0.0172562553925798,3153
2017-08-31,"Big Bear City","CA","Riverside","San Bernardino",3848,1273,0.0103174603174603,0.0391836734693878,0.088034188034188,16012
2017-08-31,"Fort Stockton","TX",,"Pecos",3849,1099,0.00273722627737226,0.00273722627737226,0.00273722627737226,3375
2017-08-31,"Franklinton","NC","Raleigh","Franklin",3850,1131,0.0044404973357016,0.00802139037433155,0.0501392757660167,5069
2017-08-31,"Jackson","OH","Jackson","Jackson",3851,985,0.00203458799593082,0.0239085239085239,0.0412262156448203,3016
2017-08-31,"Springdale","OH","Cincinnati","Hamilton",3852,1186,0,0.010221465076661,0.0128095644748079,2548
2017-08-31,"Keaau","HI","Hilo","Hawaii",3853,1554,-0.00256739409499358,0.0196850393700787,0.159701492537313,4730
2017-08-31,"Largo","MD","Washington","Prince Georges",3854,2104,0.00621712099473936,0.0208636584182436,0.0530530530530531,2004
2017-08-31,"Lincoln Park","NJ","New York","Morris",3855,2379,0.00464527027027027,0.0263157894736842,0.0393184796854522,3041
2017-08-31,"Bradford Township","PA","Bradford","McKean",3856,907,-0.00765864332603939,-0.0183982683982684,-0.0782520325203252,3920
2017-08-31,"Granville","OH","Columbus","Licking",3857,1752,-0.00227790432801822,-0.0244988864142539,-0.0135135135135135,3853
2017-08-31,"Avocado Heights","CA","Los Angeles-Long Beach-Anaheim","Los Angeles",3858,2411,0.00249480249480249,0.00836470096194061,0.0428200692041522,3074
2017-08-31,"Dandridge","TN","Morristown","Jefferson",3859,1167,0.00603448275862069,0.0227870289219982,0.0466367713004484,6787
2017-08-31,"O Fallon","IL","St. Louis","Saint Clair",3860,1429,-0.000699300699300699,-0.0097020097020097,-0.0171939477303989,9016
2017-08-31,"West Carrollton","OH","Dayton","Montgomery",3861,938,0.00428265524625268,0.0217864923747277,0.0707762557077626,3459
2017-08-31,"Dixon","IL","Dixon","Lee",3862,1034,0.002909796314258,0.0247770069375619,-0.0565693430656934,5333
2017-08-31,"Rapho Township","PA","Lancaster","Lancaster",3863,1239,-0.0088,-0.0103833865814696,-0.0228706624605678,2860
2017-08-31,"Chestertown","MD",,"Kent",3864,1441,-0.00483425414364641,-0.00620689655172414,-0.0230508474576271,7078
2017-08-31,"West Caldwell","NJ","New York","Essex",3865,2310,-0.0012970168612192,-0.0257275411218895,-0.101516919486581,3625
2017-08-31,"Hazel Green","AL","Huntsville","Madison",3866,950,-0.00314795383001049,-0.0114464099895942,0.021505376344086,4535
2017-08-31,"Bay Saint Louis","MS","Gulfport","Hancock",3867,985,0.0175619834710744,0.0239085239085239,-0.0371456500488759,5992
2017-08-31,"Paw Paw","MI","Kalamazoo","Van Buren",3868,1097,0.00182648401826484,-0.00272727272727273,-0.0036330608537693,4826
2017-08-31,"Greensboro","GA",,"Greene",3869,1733,0.00697269029633934,0.0248373743347132,0.0309339678762641,4712
2017-08-31,"Town of Kennebunk","ME","Portland","York",3870,1928,-0.0112820512820513,-0.00103626943005181,0.176327028676022,4300
2017-08-31,"Clinton","MA","Worcester","Worcester",3871,1743,-0.000573394495412844,0,-0.00171821305841924,2627
2017-08-31,"Little Ferry","NJ","New York","Bergen",3872,2122,-0.00188146754468485,0.00141576215195847,-0.0813852813852814,2311
2017-08-31,"Reedsburg","WI","Baraboo","Sauk",3873,1089,-0.00819672131147541,-0.0345744680851064,0.00554016620498615,4264
2017-08-31,"Anthony","NM","Las Cruces","Dona Ana",3874,906,0.0089086859688196,0.00778642936596218,0.0214205186020293,3190
2017-08-31,"Monitor Township","MI","Bay City","Bay",3875,1017,-0.0230547550432277,-0.0192864030858245,-0.0230547550432277,3538
2017-08-31,"Black Mountain","NC","Asheville","Buncombe",3876,1343,-0.00148698884758364,0.00149142431021626,0.00750187546886722,4960
2017-08-31,"Saratoga Springs","UT","Provo","Utah",3877,1606,-0.00557275541795666,-0.01230012300123,-0.00495662949194548,5879
2017-08-31,"Waverly","IA","Waterloo","Bremer",3878,1166,0.0103986135181976,0.0420017873100983,-0.0110262934690416,3949
2017-08-31,"Forest Hill","TX","Dallas-Fort Worth","Tarrant",3879,1268,0.00955414012738853,0.0283860502838605,0.070042194092827,4016
2017-08-31,"Soddy-Daisy","TN","Chattanooga","Hamilton",3880,1208,0.0185497470489039,0.0413793103448276,-0.00657894736842105,4319
2017-08-31,"Macedonia","OH","Akron","Summit",3881,1578,0.00573613766730402,0.0280130293159609,-0.0149812734082397,4557
2017-08-31,"Elkview","WV","Charleston","Kanawha",3882,909,-0.0246781115879828,-0.0370762711864407,0.0978260869565217,6390
2017-08-31,"Mendham Township","NJ","New York","Morris",3883,3625,0.00443336104183985,-0.001652437345084,-0.0197404002163332,3899
2017-08-31,"Bedford Heights","OH","Cleveland","Cuyahoga",3884,1121,-0.00089126559714795,0.000892857142857143,-0.0044404973357016,2652
2017-08-31,"Camano Island","WA","Oak Harbor","Island",3885,1650,0.00794135613927917,0.0248447204968944,0.0679611650485437,9137
2017-08-31,"Roselle Park","NJ","New York","Union",3886,1815,-0.0141227593699077,-0.0396825396825397,-0.0739795918367347,3426
2017-08-31,"Waterford","NJ","Philadelphia","Camden",3887,1611,-0.00800492610837438,-0.00616903146206046,-0.00555555555555556,3837
2017-08-31,"Moore","SC","Spartanburg","Spartanburg",3888,1327,0.0129770992366412,0.0318818040435459,0.0199846272098386,5081
2017-08-31,"Advance","NC","Winston-Salem","Davie",3889,1373,0.00365497076023392,0.0155325443786982,0.00365497076023392,5799
2017-08-31,"North Palm Beach","FL","Miami-Fort Lauderdale","Palm Beach",3890,2905,0.00310773480662983,0.0175131348511384,0.0970543806646526,3432
2017-08-31,"Mecca","CA","Riverside","Riverside",3891,1293,0.0229430379746835,0.0529315960912052,0.0444264943457189,828
2017-08-31,"Monroe","OH","Cincinnati","Butler",3892,1470,0.00616016427104723,0.0137931034482759,0.047008547008547,4306
2017-08-31,"Jefferson","WI","Watertown","Jefferson",3893,1145,-0.0052128583840139,-0.0345699831365936,-0.00348128807658834,3165
2017-08-31,"Blountville","TN","Kingsport","Sullivan",3894,1067,0.00187793427230047,0.0638085742771685,0.168674698795181,4407
2017-08-31,"Ellisville","MO","St. Louis","Saint Louis",3895,1701,0.00176678445229682,0.00829875518672199,0.0149164677804296,3225
2017-08-31,"Brownsville","TN",,"Haywood",3896,819,0.00244798041615667,0,-0.0191616766467066,5977
2017-08-31,"Haddonfield","NJ","Philadelphia","Camden",3897,3448,-0.000579710144927536,0.00378457059679767,0.0292537313432836,4207
2017-08-31,"East Wenatchee","WA","Wenatchee","Douglas",3898,1563,0.00968992248062015,0.0195694716242661,0.000640204865556978,3189
2017-08-31,"Holbrook","MA","Boston","Norfolk",3899,2246,-0.00177777777777778,-0.00619469026548673,0.015370705244123,3217
2017-08-31,"La Feria","TX","Brownsville","Cameron",3900,831,0.0121802679658952,0.022140221402214,-0.0269320843091335,4725
2017-08-31,"Franklin Lakes","NJ","New York","Bergen",3901,4542,-0.0115342763873776,-0.0592377796188898,0.0046449900464499,3573
2017-08-31,"Calera","AL","Birmingham","Shelby",3902,1141,-0.00349344978165939,-0.01040763226366,-0.00609756097560976,6209
2017-08-31,"Highlands","TX","Houston","Harris",3903,1337,0,-0.00446760982874162,-0.0154639175257732,2954
2017-08-31,"Saint Peter","MN","Mankato","Nicollet",3904,1280,-0.00389105058365759,-0.0138674884437596,-0.00543900543900544,1332
2017-08-31,"West Haven","UT","Ogden","Weber",3905,1480,0.00475220638153428,0.00817438692098093,0.0143934201507882,3096
2017-08-31,"Ridgeland","SC","Hilton Head Island","Jasper",3906,1214,0.0066334991708126,0.0108243130724396,0.000824402308326463,3692
2017-08-31,"Cotati","CA","Santa Rosa","Sonoma",3907,2697,0.00559284116331096,0.0235294117647059,0.0551643192488263,1849
2017-08-31,"Emmaus","PA","Allentown","Lehigh",3908,1387,0.00872727272727273,0.0161172161172161,0.0274074074074074,3636
2017-08-31,"Gulfport","FL","Tampa","Pinellas",3909,1292,-0.000773395204949729,-0.00768049155145929,0.00232738557020946,4474
2017-08-31,"East Hanover","NJ","New York","Morris",3910,2870,0.00807867931155602,0.0206258890469417,-0.00726392251815981,4056
2017-08-31,"Haslett","MI","Lansing","Ingham",3911,1502,0.0114478114478114,0,0.0252559726962457,3634
2017-08-31,"Hershey","PA","Harrisburg","Dauphin",3912,1506,0.00132978723404255,0.00199600798403194,0.0127774041694687,4490
2017-08-31,"Lake Butler","FL",,"Union",3913,1187,0.00423011844331641,0.0162671232876712,0.0180102915951973,1403
2017-08-31,"Gladeview","FL","Miami-Fort Lauderdale","Miami-Dade",3914,1606,0.00249687890137328,0.00312304809494066,0.006265664160401,2478
