"RegionName","State","Metro","CountyName","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08"
"Bal Harbour","FL","Miami-Fort Lauderdale","Miami-Dade",1124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1395000,1495000,1261000,1350000,1350000,1375000,1362500,1450000,1490000,1385000,1424500,1321750,1297000,1350000,1395000,1477500,1575000,1495900,1495900,1450000,1437500,1575000
"Lewiston","MI",,"Montmorency",1125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77450,75000,71950,68950,69900,66500,64950,63750,67900,67900,65200,67900,64950,68000,69900,68000,66450,73950,71200,71400,64900,64900,69900,64900,67450,69900,69900,74900,73900,74900,74900,74900,71400,65400,59900,59900,61200,62500,62500,73750,75000,74950,75450
"Provincetown","MA","Cape Cod","Barnstable",1126,525000,509000,512000,524000,497000,495000,489900,479000,499000,499000,499000,489000,469000,499000,499000,489000,449900,489000,499000,504000,499900,499000,499000,499000,529000,519000,497000,499000,499492.5,475000,475000,484450,489900,469000,489900,489000,464500,479000,499000,525000,544000,544000,512492.5,540000,504492.5,499985,499000,494450,469000,448000,448000,469000,469000,499000,489000,499000,499000,545000,554450,549900,589000,559000,589000,594000,569000,579000,579000,589000,585000,574000,579000,599000,626950,599000,609000,639000,598250,599000,662500,690500,699000,699000,749000,739900,749450,712400,759000,699900,749900,739900,699000,687500
"Saint James City","FL","Fort Myers","Lee",1127,219000,204500,199900,198800,194900,191950,187900,167400.5,179000,174500,174500,169000,169450,173700,176450,176450,156000,165250,159900,159900,149900,159000,158000,159450,164500,169900,164500,149700,156000,149500,149500,155000,160000,158500,174500,179900,179950,179900,177450,162450,159900,164900,164250,146750,159700,159900,159900,150000,146500,149250,159000,174700,169900,161700,165000,165000,182250,180000,189500,193750,197500,188750,188250,197500,201950,199900,199450,198250,179000,189000,199250,199900,209950,219000,219850,219000,219000,216975,220500,229450,234450,219000,219500,224000,222000,218950,207950,218000,217500,217000,209450,209000
"Pocono Lake","PA","East Stroudsburg","Monroe",1128,,,,,,,,,,,,,,,124900,120000,114756,109900,104900,103900,99900,99900,95700,97800,96700,99000,93500,89900,99900,99926,95000,89900,89900,84951,84280.5,89900,89700,89500,89500,84000,84000,87000,83610,83000,83305,84255,89900,89000,79900,81450,89900,89450,79900,79900,82000,79900,81400,79900,79900,86400,94900,92000,99900,103000,104000,105814,103000,99250,97450,99900,99900,99900,98950,98950,96950,94999.5,98750,94700,94999,94800,89900,90000,91500,90000,99900,93000,89950,89900,89900,90000,89900,89950
"Wofford Heights","CA","Bakersfield","Kern",1129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99000,99500,99000,99000,103000,109900,109900,99000,99000,110000,107000,110000,105000,95000,94000,94000,99900,110000,110000,109500,120000,125000,119500,119500,122250,135000,130000,125000,110000,110000,98500,99450
"Bokeelia","FL","Fort Myers","Lee",1130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,279000,289000,274000,272450,259437.5,265900,275000,259437.5,259000,259500,249000,239500,235000
"Placida","FL","Punta Gorda","Charlotte",1131,,339000,339500,329500,329000,325950,3e+05,299000,279900,279450,289450,279450,279450,275000,275000,280000,299000,299000,299000,310000,299450,279500,255950,262450,239000,275000,275000,275000,265500,250000,279000,275000,250000,249900,239000,274995,275000,299000,299000,279900,279900,299000,299900,289450,285000,299000,294000,299000,299000,306950,324900,312400,329000,285000,319000,321950,314000,292450,321950,299900,292500,314000,299450,313663,324000,324000,327000,341200,339900,325000,339900,325000,329000,319000,317000,322450,299000,319450,287000,283000,299000,299000,257000,265500,279450,323950,298900,339900,345000,339900,3e+05,278500
"Clarkstown","NY","New York","Rockland",1132,329000,329000,339900,344900,339900,339900,339900,339900,339900,319000,315000,315000,318000,304500,309000,315000,314500,294450,289900,295000,289900,286500,285000,279990,279450,285000,285000,275000,279700,269450,269900,272400,272400,269000,260000,251950,254900,273900,269450,269900,282500,299000,275000,269900,287000,295000,283000,285000,299000,299000,305000,314900,315000,315000,312500,319000,297000,291700,294900,279000,279000,279750,308000,321775,320250,326950,322050,325900,324900,319000,302500,326500,305000,315000,312500,299949.5,312500,312500,319000,299900,309950,299900,305950,294900,289000,293000,319500,319450,317000,310999,3e+05,299700
"Princeville","HI","Kapaa","Kauai",1133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,599000,599000,604900,595000,597000,637000,662500,599000,619000,595000,595000,629000,595000,595000,595000,595000,618500,618500,595000,624000,609000,617000,609000,622250,575000,575000,599900,599900,635000,625000,599900,599900,604500,589900,610000,599000,599000,599000,599000,607000,607000,599000,631950,612000
