"RegionName","State","Metro","CountyName","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08"
"West Hartford","CT","Hartford","Hartford",294,489900,550000,577400,539000,524900,529900,524700,514500,567450,559000,565000,585000,649900,649900,619900,639900,599900,596375,569900,534950,489000,520000,505000,512000,482000,550000,488450,512200,575000,569000,540000,479000,509500,487450,540000,562400,564450,582449.5,549900,571950,649900,683500,695000,649900,629900,599000,662449.5,662450,675000,682450,664900,687500,639450,649000,644000,649450,599500,599900,599900,605000,602250,605000,549450,562450,559450,575000,587000,599000,575000,587000,605000,649900,625000,6e+05,585400,637450,622450,625000,629900,615000,605000,615000,599900,599900,610000,569450,595000,549900,554900,549900,544700,557450
"Aiken","SC","Augusta","Aiken",295,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,364450,349000,372500,361200,364450,374900,422000,379900,388950,378900,336825,338000,304450,302990,315000,304490,304490,307495
"Glen Allen","VA","Richmond","Henrico",296,5e+05,509500,499925,499900,489925,489950,499950,494700,499950,499970,485000,460000,479950,492500,469950,439900,430000,429995,467000,457475,446000,449925,435000,399970,430000,449950,482500,488697.5,489000,504975,522400,454925,449950,466700,459187,439985,469850,525950,525450,495000,487500,499900,485550,479900,486000,483725,499950,532450,535000,507070,512095,529925,539745,519950,519950,499950,539950,579900,559950,533500,539950,514570,570000,566970,547450,564500,539500,537250,549900,549900,549950,549950,550000,529900,576440,579100,579200,568975,549999,542475,549000,549990,549990,569950,599500,565000,529950,555500,561227.5,562702.5,560077,549990
"Columbus","IN","Columbus","Bartholomew",297,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349900,349900,349900,349900,339450,349500,299900,339450,331950,304900,324900,320450,298700,288000,334000,327500,339000,339000,327400,349900,324900,349900,359900,380250,380250,412450,399900,399900,399900,409900,439900,439900,407445,374990,4e+05,409500,424450,434450,409450,394950,382445,384990,382445,382445,390000,400573.5,379944,395000,384900,387000,424900
"Goodyear","AZ","Phoenix","Maricopa",298,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,339990,320000,306990,291500,299450,284599,307323,329900,342490,325000,326995,316495,325000,315000,315000,320990,319900,312499.5,319450,329400,339900,337450,334900,330000,349900,359900,359000,342450,365000,365000,369000,356245,379700,379900,379900,354900,347475,367500,367500,343649.5,324950,320000,316900
"Utica","NY","Utica","Oneida",299,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59900,60000,60000,64400,59450,57400,58700,59400,56450,58400,58450,58450,59900,64700,64900,69000,69900,73400,75450,74900,73750,74000,71450,69900,59700,69700,69900,63900,68000,67000,68450,68000,64900,64900,64900,64400,68950,76900,75900,74900,74000,74700
"Snellville","GA","Atlanta","Gwinnett",300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,249900,248686,237150,233422,234911,224809.5,215105,209900,209900,218343,237000,235000,239495,262717,237945,235000,245000,242990,239900,248490,249850,248990,250000,256240,262770,272990,263945,264900,280000,277000,280360.5,288930,291900,290551,289900,289900,292706,293830,292760,292706,293415,293812,294800,293415,299555,297945,294555
"Arcadia","CA","Los Angeles-Long Beach-Anaheim","Los Angeles",301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2988000,3244440,3380000,3290000,2840000,3039975,2999950,2689000,2688000,2590000,2698000,2924000,3289000,3288000,3288000,3234500,2988000,2880000,2680000,2680000,2428000,2288000,2294000,2300000,2650000,2860000,2500000,2580000,2830000,2880000,2860000,2860000,2880000,2934000,2874000,2888000,2990000,2998000,2899000,2884000,2790000,2785000,2868000,2780000,2790000,2680000
"Yorba Linda","CA","Los Angeles-Long Beach-Anaheim","Orange",302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1494497.5,1499995,1499000,1488500,1399900,1381500,1475880,1294500,1254000,1249497.5,1199900,1399997,1374500,1289499.5,1338000,1289500,1299999,1398000,1398000,1382500,1347999,1354500,1349949,1350000,1309995,1498888,1399000,1290000,1290000,1399694,1492447.5,1399888,1549947.5,1549947.5,1575000,1575000,1499750,1599888,1729497.5,1640000,1599000,1698888,1699000,1703500,1697000,1708000
"Woodbury","MN","Minneapolis-St Paul","Washington",303,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,372400,374900,419900,425000,447000,435000,412450,414900,399900,405445,405495,410990,429345,420990,471000,477450,514495,499000,499900,484900,485000,473900,472450,475000,472500,475000,472000,472000,474950,455000,452400,449900,469000,469000,460995,460445,467945,492894,518900,479900,484450,479900,498900,495000,484950,489900,499900,515990,532450,539900,522450,494950,490000,474950,459800,456300
"Georgetown","TX","Austin","Williamson",304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,420073.5,403353.5,452900,439008,431378,434639,431378,417990,414490,452900,497450,487445,494900,492445,506900,496700,497945,497945
"Carmel","IN","Indianapolis","Hamilton",305,739000,7e+05,689000,649900,649900,649450,639000,689450,694900,680000,634900,612450,585000,527450,445000,421370,460615,447450,468910,460615,482805,477185,528460,472435,487085,516950,536950,483067.5,475000,499900,499585,493728,494950,516865,483618,482236,492690,485000,490000,472903,479845,495800,505000,499000,499000,480812.5,479950,479900,479922.5,537536.5,493462.5,497000,539900,504000,490000,551452.5,563947.5,570000,581995,569900,552400,584495,572450,562400,575000,589900,649900,642000,649900,649900,644900,656950,629995,644450,624900,649900,625000,659800,624900,611200,675000,684497.5,677995,679995,717000,689990,659995,659995,663990,679995,653745,659950
