"RegionName","State","Metro","CountyName","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08"
"Erie","PA","Erie","Erie",80,60450,65000,66450,66450,67500,67175,65450,64999.5,64949.5,64999,63700,65000,65000,65250,64950,64900,64400,65000,59900,60000,63900,65000,59900,59900,59900,62450,59900,59900,55000,56250,55000,58225,59900,60000,59900,59900,61900,63900,62900,62700,59900,60950,59900,57450,55250,55000,56900,57950,58500,59000,57975,59000,62000,60000,64900,67950,65000,65000,62750,62000,61500,62000,57750,59950,59925,59950,60000,58950,57250,55000,54900,52900,54900,59900,54900,58000,58950,58450,58000,57500,58450,57000,55000,54900,54950,53950,54900,59900,59900,50000,54900,59900
"Green Bay","WI","Green Bay","Brown",81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,132400,136200,139900,142400,141450,149900,159900,159900,159900,142400,159400,139900,159900,159900,156800,169900,149900,149900,141950,158450,158450,144900,149900,153700,157900,157900,159900,159900,159900,164900,159900,149900
"Brockton","MA","Boston","Plymouth",82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,269000,259900,249900,269945,269600,269990,279450,269900,272495,272445,269900,289900,279900,289900,277450,306450,319000,309000,329900,327950,325000,329000,329500,329500,329900,339900,334500,339450,339950,349899.5,344000,348949.5,349900,349900,346950,349000,359900,359900,349900,339900,344900,359900,372000,379950,372450,390000
"Lehigh Acres","FL","Fort Myers","Lee",83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110950,110000,111900,120000,121800,123600,124450,119000,115900,119900,123450,128900,135000,134900,139900,145000,154900,156900,159900,158950,159900,159900,159900,159900,169900,164500,174900,174888.5,174900,164950,169400,174900,175000,175000,184900,176950,179000,184950
"Kenosha","WI","Chicago","Kenosha",84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99500,104950,110450,109900,109950,99000,108700,110250,115000,119900,99000,88700,94900,94900,98400,99900,99900,95900,105000,105400,109000,106950,99900,105900,105900,109900,109900,112000,107900,105900,98750,116000,114900,110000,109900,107250
"New Bedford","MA","Providence","Bristol",85,189900,189900,189900,179900,175000,175000,175000,179900,179900,179825,175375,174900,175000,175000,174950,168200,175750,169900,174900,169000,165900,162000,164900,160000,161000,159900,165500,166000,169900,169900,169900,162450,159900,159900,159900,159900,154450,154900,149900,158700,159900,159900,155000,159000,159900,159900,169000,169000,169000,174999,169900,169900,177900,179950,179850,178900,177900,179900,179900,179900,179900,169800,169900,164950,169415.5,169331,176450,184700,179900,182200,184700,185000,182500,182500,179900,179900,179900,179900,174900,179900,184500,189400,190000,195000,185000,195000,194900,189900,189900,191900,198000,199900
"Santa Monica","CA","Los Angeles-Long Beach-Anaheim","Los Angeles",86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2597500,2500000,2597500,2797500,2597500,2872500,2895000,2900000,2699000,2775000,2685000,2725000
"Fall River","MA","Providence","Bristol",87,224942,225000,224900,222900,224900,219900,219900,212000,204900,202450,211950,209900,199900,199900,189900,179000,192400,195000,199900,199000,199000,199000,189900,186250,184200,179900,189000,189900,189900,194000,199000,199950,189900,189900,189900,179500,175000,175000,175000,169900,179900,189900,197500,214900,214900,219900,224900,217450,214900,219900,209950,209900,202450,215000,217450,209950,219900,219900,229000,224800,221900,219900,219900,219900,232400,219900,210000,208950,209000,2e+05,209000,199900,199000,199900,199900,212450,219900,219900,226250,230000,229900,229900,229900,225000,222000,225250,225000,229000,239900,249900,249900,249000
"Lynn","MA","Boston","Essex",88,224900,203450,217400,229881,237250,235000,229900,241950,238950,229500,229900,229900,222200,229000,215000,219450,222900,218950,219000,218950,229900,229900,222497.5,207000,218250,217500,226000,235000,237000,239500,239050,228000,238500,239900,249900,239000,239000,249900,257450,259900,259900,289900,289900,294900,289450,289900,289900,288150,299000,299450,299900,309000,314450,335000,339700,339900,349900,339900,349888,339900,329900,319000,329900,329949.5,359900,349900,359950,369000,369949.5,369900,369450,369000,362500,367000,382400,390000,389997,389900,419900,425000,404000,419900,409900,406950,439900,439000,439900,439000,449450,469000,454500,459450
"Cicero","IL","Chicago","Cook",89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,149900,149900,149900,149000,151950,149900,149900,152400,149900,149900,152500,150000,159900,160000,169450,169900,170000,177450,189900,185000
"Town of Poughkeepsie","NY","New York","Dutchess",90,187450,175000,170750,173000,179000,176400,167925,167925,169900,169000,169900,160000,165000,160000,175000,165500,165000,172500,169000,179900,175000,175000,169950,159950,160000,159450,159900,159900,159900,159950,159000,159900,159000,149950,158000,169450,169000,164450,164900,152797.5,155000,159450,150000,149900,149900,149900,150000,150000,147400,139600,154500,160000,165000,165000,159000,159950,151500,157500,155950,157500,149450,149900,146950,147000,149000,149900,149000,159000,152900,149949.5,142500,129000,129900,129950,129000,129450,139900,139900,144900,149999,149999.5,159900,159112,156950,159056,164900,154900,159900,155401.5,157000,169876,189000
"Quincy","MA","Boston","Norfolk",91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,549900,532400,504015,499900,545000,549000,549000,569900,559450,559000,563694,554200,558500,594450,587200,579900,565000,596750,6e+05,599000,599000,598900,598950,595000,595000,579000,579450,587450,595000,589450,587444,599000,650000,599000,599000,599000,566500,619000,599900,629000,644450,649900
"Cranston","RI","Providence","Providence",92,219409,227000,227000,218500,221950,215000,199900,199900,199900,199900,199900,184900,184950,177200,179250,179000,175000,169000,169900,159900,159945,169000,169450,165400,159900,159900,159900,159900,169900,169450,154900,142949.5,150000,151450,151450,152900,150000,154900,150000,155900,149900,169900,165000,167450,174900,172400,163950,160000,149500,164950,169450,177394,179900,174888,174900,179900,164900,167500,171950,169450,172449.5,177400,179900,171050,179850,179900,179950,195500,190200,179900,169900,169900,174900,184000,199900,195500,189900,187450,189900,199000,219450,219900,217450,224900,224500,212000,217450,229950,239000,239000,219950,222450
"Lawrence","MA","Boston","Essex",93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,234921,235410.5,239450,254000,249811.5,249811.5,249850,249723,239900,249811.5,254900,259311.5,249900,255500,262400,259900,255000,255000,255000,254900,257450,259450,274900,274900,274900,269900,274900,274900,274900,267400,276450,278000,274000,269900,269900,279900,289900,289900,289900,292200,299000,299900,299900,301450,309900,319900,324900,329450,319450,329500,329900,329900,359000,349900,349900,349900,359900,359900,349900,349950,354900,349900,345500
"Scranton","PA","Scranton","Lackawanna",94,125000,125000,124500,124950,119700,122450,124900,115000,115000,109450,119000,112400,99900,105000,105000,105000,109000,114500,115000,114950,113000,105000,109000,99950,99900,99900,99900,99900,99900,99900,99500,99250,95000,92000,89950,95000,89900,89900,87950,89900,95000,95000,95000,96500,98500,98500,103950,109000,105000,109000,107500,99000,103950,99900,99000,99000,99000,99000,99000,99000,99000,99000,94900,94900,99000,95000,92700,89900,91250,89900,89000,84900,81900,79700,79900,84450,88000,86000,81450,80000,84700,84950,85000,81000,79900,86950,89450,95000,90000,90000,89900,89949.5
"New Britain","CT","Hartford","Hartford",95,189000,186450,180000,187900,185000,179950,179900,185000,179900,179900,179900,179000,175000,174900,169900,169900,169900,168000,164200,165000,164950,159949.5,159900,159450,154950,159000,162450,163950,159900,155000,154950,149900,144500,139900,144000,144000,142500,141350,145750,140000,139900,145000,150700,159000,157000,159000,160000,158500,149900,149900,159900,149900,149900,149900,160999.5,149900,150000,159949.5,160000,149950,149900,140000,139900,149900,157000,162400,163900,164400,163900,159900,155000,149900,149900,149900,159000,159900,159900,159900,159900,159990,159900,154900,149900,149900,145900,144580,148800,149900,149949.5,155000,159900,159900
"Pawtucket","RI","Providence","Providence",96,147200,169900,169900,169900,166950,172000,169000,164900,159900,155400,149900,149900,147500,149900,149900,143250,145450,142000,145000,147500,147500,145000,140250,139900,132250,133000,130000,139000,129900,129900,119900,124900,129900,128000,138680,129900,126950,119900,135000,149000,149900,149900,149900,149900,159000,150000,149900,150000,155000,159900,169900,170000,175900,178900,178900,169950,169900,169900,168000,165000,165000,169900,169900,186675,179900,174950,179900,179900,179900,179900,179900,169900,164950,165000,172400,179900,189450,189900,190000,193000,199900,199900,199900,199900,199900,199000,199000,219900,223400,228900,229350,229900
"Wilmington","DE","Philadelphia","New Castle",97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,160000,169900,169900,155000,150000,167400,149950,150000,145000,159900,162400,162400,172450,172400,158900,159900,143000,153950,157450,149900,149900,139888
"New Rochelle","NY","New York","Westchester",98,489499.5,489499.5,492000,497450,499000,479999,465000,460200,465000,465000,477500,465000,457500,450000,465000,469000,469500,470000,482000,469500,459900,470000,457275,435900,419000,412000,399000,399000,365000,389000,399900,402500,399000,400500,389450,400200,425000,439000,429000,4e+05,427010.5,429260.5,449000,405000,412000,420000,429000,424500,417950,419000,417950,425000,419000,429021,434510,465000,444999.5,439999,447010.5,454500,450000,449021,429021,424010.5,459000,429021,455000,429021,417950,429510.5,459950,439460.5,465000,467500,475000,501950,519000,525000,519000,525000,544000,539000,549000,544000,549000,527000,544000,539000,564450,537000,564450,575000
"Portland","ME","Portland","Cumberland",99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,450000,450000,450000,425000,449000,414900,439000,450000,459000,465000,504900,437450,494000,459000,450000,489000,454250
"Mount Vernon","NY","New York","Westchester",100,399000,399000,399000,399000,398000,389500,399000,399000,395000,390000,388800,372450,354500,349000,349000,349000,350000,359000,359000,369000,375000,369000,350000,350000,350000,349500,352999,359000,375000,359000,359000,350000,347000,347000,339000,328260,347000,350000,329555,329555,325000,319510.5,325000,319021,318000,322500,327000,329000,3e+05,3e+05,310000,315000,325000,325000,330000,349990,334500,349000,349900,350000,350000,359900,350000,369000,369000,369000,359000,369000,369000,359000,362450,350000,331900,345000,350000,350000,359000,339000,354500,359000,350000,349999.5,349000,335000,349000,347000,349900,355000,354500,360000,379500,375000
"Utica","NY","Utica","Oneida",101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59900,62400,61500,64900,64900,63900,61900,64900,64400,68000,74900,74900,74900,69900,69900
"Bristol","CT","Hartford","Hartford",102,174900,174900,174900,165700,164900,159900,162750,159900,163000,169700,169900,169900,164900,158950,149900,157000,157000,144900,144900,149900,149900,159500,159900,159900,159900,159900,155000,159000,159900,152400,149900,147450,145000,145000,147000,145000,141000,147400,149900,143500,139000,141000,150000,167900,165900,169900,156950,151900,149900,159900,163900,162900,163900,164900,164200,163500,160000,159000,159900,159900,154950,159450,159900,159000,159450,162450,159900,164950,160000,164400,164950,159900,159900,159900,159900,164900,164900,161000,162000,162950,155500,157900,155000,154900,154900,154900,154950,155000,165000,167900,164900,162000
"Meriden","CT","New Haven","New Haven",103,192450,192450,179900,184900,179900,172500,169950,169900,169900,154900,169450,149900,159000,139950,144900,149900,149900,149900,149900,158450,149900,149900,149900,144500,140000,154900,159900,139900,149900,149900,154950,159900,149450,145000,149900,142450,147000,154000,149000,142450,129900,125000,124900,122450,119900,125900,139900,147000,147000,139900,149900,149900,147000,155450,155000,154900,160900,163400,159900,159900,162400,149900,149900,149900,145000,149900,139900,149900,154900,157900,156950,159900,154950,152450,152450,149900,149900,152450,137900,135250,139450,134900,129000,128200,129000,134900,134900,139900,154900,152450,153900,150000
"Manchester","CT","Hartford","Hartford",104,195000,194900,221950,219900,224000,224000,219900,224950,229900,219900,221350,219900,199999.5,199900,192400,187900,189900,189900,199900,199900,209900,199900,199900,198500,189900,175000,184900,179400,179400,179900,174950,174900,169900,167450,169900,167450,169900,174900,179900,179700,169900,169900,175000,179500,160325,168000,168000,167400,166200,169900,159900,169900,172450,179900,179450,169900,174500,174500,169900,169900,169900,179900,179900,174900,179900,181900,183900,183900,186900,174900,169900,155000,153500,164900,169900,184900,184900,187900,189450,194900,189900,189900,185900,175000,177450,198000,198000,175000,179650,172922,179400,177622.5
"Florence-Graham","CA","Los Angeles-Long Beach-Anaheim","Los Angeles",105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,399000,380000,395000,389500,392000,397000,414700,384500,409900,415000,409900,424000,415000,424000,412900,402940,430000,415000,438000,450000,450000,450000,445900,432500,445900,450000
"Newport Beach","CA","Los Angeles-Long Beach-Anaheim","Orange",106,1649000,1698500,1769000,1695500,1712500,1737000,1699000,1695000,1693500,1595000,1495000,1550000,1495000,1585000,1592000,1580000,1525000,1499000,1527000,1500000,1500000,1495000,1495000,1497000,1464500,1497000,1495000,1499000,1497000,1500000,1500000,1525000,1675000,1600000,1525000,1525000,1675000,1699000,1699000,1722000,1867500,1860000,1849500,1824000,1849500,1792500,1797000,1799000,1799000,1850000,1867500,1897000,1795000,1792500,1872000,1897500,2195000,1972500,1895000,1795000,1995000,1995000,2222000,2271938,2195000,2575000,2495000,2396500,2395000,2445000,2497000,2524500,2499000,2349000,2372000,2257500,2322500,2399000,2525000,2562500,2495000,2472500,2495000,2472500,2450000,2497000,2499500,2550000,2500000,2499500,2495000,2449500
"Berwyn","IL","Chicago","Cook",107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,169900,180000,179500,179500,178250,179750,179500,179900,194999,209450,219950,230000,224950,207900,199999,215000,219900,239900,239900,239999.5,240000,239900,239444,239000,239000,236900,234999.5,239000,240000,249900,255400,254900,265000,249900,249900,244900,244900,249800,249850,259900,259900,269000,267000,249900,249450,265000
"Schenectady","NY","Albany","Schenectady",108,97900,94900,89900,89900,89900,89500,88900,86950,84900,79900,76750,74900,73900,73950,75000,79900,80249.5,79250,79900,79900,75900,74900,79900,79000,79000,75450,75000,79000,75000,76400,75900,79900,79950,80000,79900,79900,80900,79900,79900,79900,79900,78950,78950,78900,75000,75000,74900,76900,79450,79900,79000,79900,79900,79900,79900,79900,77000,72900,69900,69500,69900,69700,69000,69000,70000,70000,67250,69000,68750,67000,65250,65000,65000,59900,59900,59450,59900,67700,74900,69445,65900,65000,65900,66950,65000,64900,63900,69900,69450,70000,74450,74500
"Chicopee","MA","Springfield","Hampden",109,,,,169900,182200,182200,184950,185500,191450,191450,186700,179000,169900,169900,169900,176400,171400,174400,177400,189950,174950,165000,170000,177500,170000,172500,175000,169500,165000,165000,165000,159900,154900,159900,158950,169000,169900,189900,186450,189900,189950,186500,179500,179000,198000,175000,175000,174900,175000,152900,179900,179900,179000,179900,187450,179900,185000,175000,184900,182400,185000,181950,189000,189000,191950,194900,177950,179900,176000,194900,192400,189999,189950,194900,190000,209750,209900,199450,197000,180000,187450,184900,185000,185250,189500,183950,192450,189900,189900,199900,199900,199900
"West Haven","CT","New Haven","New Haven",110,199900,199900,211850,219900,219900,219900,199900,215000,199450,192950,195900,199900,199900,199900,199900,199900,199900,194450,179900,179900,169900,169900,192450,195000,192500,189000,189900,189900,199000,189900,189900,190700,189900,189900,209000,205700,204000,195250,209000,209000,209000,204000,199900,209450,199450,187900,182450,179900,180000,179900,179900,188450,190000,179000,179950,187000,179900,179900,194900,172800,170300,169900,182400,199900,209000,229000,229000,222800,219950,219900,199900,202450,205000,199900,199850,195900,199900,199900,210200,215000,210200,209500,212450,209000,214950,212000,217900,219950,237000,239900,237400,234900
"Troy","NY","Albany","Rensselaer",111,104900,107000,109900,109900,109900,109000,109800,102500,102500,105000,99950,99900,99500,96950,99450,96950,99999.5,105250,99900,99900,99500,89949.5,89900,89900,89900,93350,90850,89900,94900,94900,96000,96000,98000,92250,92500,89900,89699.5,89899.5,91900,95350,109000,109825,109375,109000,98750,92500,89900,96750,95000,95000,97000,103455,105000,104450,104900,103000,99900,99900,99700,99700,99000,99500,99500,95000,87499.5,88499.5,95000,95000,94900,93800,89450,87999,89900,82400,79900,86100,98000,99900,99900,99900,99900,99900,99900,95000,89999,93750,93450,99000,95000,99000,109000,114900
"Niagara Falls","NY","Buffalo","Niagara",112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40950,44000,44900,43450,39900,39900,39900,39900,39900,47000,44900,44900,45450,49900,49900,47250,49000,49000,50000,45000,44900,44900,43900,42900,44900,44900,44900,44900,44900,44950,45000,44900,44200,44900,49000,49000,49900,48250,48500,45000,49900,47200,44900,48000,48000,47500,49900,49900,49900,49900,54000,49900
"Harrisburg","PA","Harrisburg","Dauphin",113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93900,94900,92450,94900,101500,89900,89900,89900,89900,82250,80000,79000,79900,84750,82250,89900,87450,83000
"Revere","MA","Boston","Suffolk",114,339000,329000,324900,339000,339000,339000,339700,339444,349700,344900,357250,359900,344450,329900,329950,341500,341500,319999,3e+05,3e+05,309900,319000,314450,304950,325000,3e+05,299450,3e+05,320000,319900,314900,349900,349750,334000,349950,344900,364900,379900,359995,364947.5,359990,370000,359900,369000,384000,389900,389974,379000,394900,429999,389900,399900,399900,409950,424450,399431,429000,429000,429000,419900,409000,425000,414900,399900,399000,436944,450000,475000,475000,475000,475000,469944.5,479900,469989,449999,449900,454499.5,496450,499900,494450,499900,509900,499900,499900,499999,499949.5,510000,549900,569000,552500,546000,629450
"Binghamton","NY","Binghamton","Broome",115,69900,69900,69900,69900,69949.5,65000,64500,64900,67500,68700,68700,69950,69950,70000,73725,69900,69900,72450,72000,72750,73500,79900,79000,79000,75000,75000,79000,73500,75000,75000,74900,75000,78250,75000,79500,74950,77200,75000,76900,73200,70750,75950,77500,73500,70000,73000,70000,69900,69900,69900,65000,64950,69900,70000,72900,75000,74900,74000,79250,78000,77400,75900,75000,72250,74900,75000,77000,75000,70750,72500,75000,75000,72750,70000,73500,70000,73250,70000,70000,68250,68500,65999.5,65949.5,67915.5,74900,68990,69500,68990,68990,69445,75999,74900
"Lakewood","OH","Cleveland","Cuyahoga",116,109950,112000,111100,123000,119900,114900,124900,119900,115000,119700,114987,114500,114000,107250,103900,99900,99900,99900,99900,99900,99700,94997,99800,99900,109900,110000,102950,112000,114900,114900,109450,99500,99000,99750,105000,105450,109000,109900,112900,99990,109000,109000,109000,108500,103000,104500,102450,99000,95000,95000,98250,92450,99900,114900,119000,109950,119900,124900,124900,120900,119900,118500,123000,114900,114500,119450,119450,115000,119900,119450,119900,121950,119900,121389.5,124900,129000,129900,139900,139950,139900,138750,134900,145000,145000,148700,145000,134900,129900,144500,149000,150000,149900
"Galveston","TX","Houston","Galveston",117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,254750,232000,206750,179450,179900,206950,214900,235000,225000,225000,249000,250000,254500,247250,244500,239500,257500,250000,260000,266500,279900,289000
"Town of Elmira","NY","Elmira","Chemung",118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65500,64900,59900,55950,54900,54950,54900,55000,54950,53700,54900,54900,54200,54900,56450,54900,52500,59000,59900,59900,59900,59900,59900,59900,59900,59900,59900,59900,59900,57950,56450,53750,54500,54750,59900,61500,62000,56250,56500
"Pittsfield","MA","Pittsfield","Berkshire",119,159900,159900,159900,157000,159000,149900,149900,149000,149900,149900,153950,154900,149900,139900,139900,139900,139900,139900,139000,139000,136000,138000,138500,136000,136000,129950,135000,139450,139950,139000,139000,139000,135500,135000,125950,120950,125000,110950,127450,133900,133900,134450,136000,119997.5,119947.5,119900,119900,114000,114900,119900,119900,114000,109900,112499.5,118950,124450,129700,130000,129900,122900,125000,125000,129450,127000,124950,129900,129950,136950,139000,132400,129900,129900,129900,129900,119200,126900,129900,129450,129900,129900,129900,129900,125000,122500,119950,112450,119900,125500,138800,124900,124900,125500
