"RegionName","State","Metro","CountyName","SizeRank","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08"
"Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2.11836609336609,2.18,2.21506682867558,2.23979591836735,2.27857142857143,2.28493647912886,2.25646599777035,2.28409090909091,2.3,2.34155363748459,2.40054127198917,2.39389736477115,2.38826815642458,2.41309823677582,2.44507936507937,2.46653293212972,2.48137802607076,2.48885498340668,2.49747899159664,2.527352297593,2.5,2.63082534785123,2.62830123165466,2.65161290322581,2.65625,2.65534007526392,2.72113858504152,2.64538595473012,2.67234600262123,2.73703703703704,2.62921348314607,2.6,2.55172413793103,2.63157894736842,2.75862068965517,2.8928283642224,2.8130333459339,2.825,2.9,2.95895096921323,2.95
"Chicago","IL","Chicago","Cook",2,,,,,,,,,1.75955452775073,1.80033500837521,1.84848484848485,1.6875,1.60588235294118,1.60927152317881,1.71764705882353,1.95535714285714,2.01014932982136,2,2.08232235701906,2.04671462829736,2.06949176642289,2.07054372197309,2.08333333333333,2.11176470588235,2.19569924742601,1.98944444444444,2.08333333333333,2.14498520710059,2.2,2.22153846153846,2.21951219512195,2.16580310880829,2.13207547169811,2.1142208774584,2.15527950310559,2.08207083860406,2,2.02153846153846,2.0703125,2.1875,2.3,2.4158467772476,2.14928057553957,2.36987447698745,2.31220042005434,2.0756234915527,1.89189189189189,2.09302325581395,2.3941883698498,2.1325,2.15384615384615,2.19685039370079,2.17647058823529,2.14898486870511,2.08333333333333,2.32689716312057,2.40540540540541,2.51420008727307,2.43622693096377,2.35714285714286,2.46788194444444,2.15296094459582,2.04844317889134,2.06346853146853,2.01,2.00511945392491,1.99717838196286,1.9409681227863,1.93333333333333,1.97561686953842,1.99428104575163,2,2,2,1.99375,2,2.05,2,2.03333333333333
"Houston","TX","Houston","Harris",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.23481282675657,1.29345189975748,1.49949545913219,1.47360703812317,1.47217879738579,1.41582622187742,1.49237472766885,1.49096705632306,1.42625607779579,1.44999697775629,1.44300144300144,1.4602721426207,1.4574037357309,1.49166666666667,1.51370679380215,1.52040476038433,1.51811113564996,1.53082549098883,1.54882571075402,1.5418537414966,1.7293934681182,1.7146017699115,1.71096096096096,1.62935323383085,1.65171011773116,1.64350453172205,1.64450654369551,1.63566878980892,1.59502450678287,1.53600702576112,1.57445200302343,1.54424743260591,1.46637895602137,1.440329218107,1.5546875,1.57317073170732,1.55357782353731,1.55625,1.59043460896086,1.56607547993019,1.54798761609907,1.54882571075402
"Philadelphia","PA","Philadelphia","Philadelphia",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.4825,1.44039473684211,1.4,1.37931034482759,1.46153846153846,1.57105911330049,1.56180555555556,1.53205128205128,1.5,1.47777777777778,1.47647058823529,1.45833333333333,1.41442715700141,1.43875,1.46666666666667,1.52941176470588,1.61380597014925,1.61907089955896,1.65413533834586,1.6339616042282,1.62058869891849,1.57156890261016,1.57088331515812,1.72666666666667,1.69886363636364,1.7502768631898,1.78421052631579,1.77777777777778,1.83673469387755,1.91723744292237,1.875,1.87179487179487,1.9,1.83846153846154,1.88470066518847,1.8037518037518,1.87339743589744,1.7969879161654,1.86037214885954,2,1.95,1.97368421052632,1.92732290708372,1.92307692307692,2.01120689655172
"Phoenix","AZ","Phoenix","Maricopa",5,,,,,,,,,,,,,0.869096934548467,0.863674851820491,0.860078277886497,0.886792452830189,0.819263752413544,0.769230769230769,0.765686274509804,0.776354166666667,0.75,0.750943396226415,0.764705882352941,0.748299319727891,0.765653722426471,0.844097222222222,0.846615252784919,0.844988344988345,0.829557437833793,0.865,0.854185295578738,0.840978593272171,0.848880597014925,0.833333333333333,0.832222222222222,0.869003641309551,0.85591935483871,0.846925972396487,0.889676113360324,0.887358184764992,0.911858974358974,0.916666666666667,0.922459893048128,0.914886677861976,0.922320186316617,0.916666666666667,0.936875,0.950617283950617,0.97025743471987,0.981359649122807,0.980392156862745,0.987322893363162,0.99135446685879,0.998080614203455,1.03207810320781,1.03850641773629,1.03565649560795,1.05675675675676,1.12485939257593,1.12200992197888,1.1304347826087,1.17062190120585,1.15120759958776,1.14140763339495,1.24841559269225,1.14279459594696,1.13366960907945,1.13958125623131,1.14849603939199,1.13953517850692,1.10836936841528,1.1772501966464,1.28201438848921,1.40883649932157,1.45726495726496,1.3841726618705,1.32564102564103,1.29181929181929,1.27952755905512
"Las Vegas","NV","Las Vegas","Clark",6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.762599469496021,0.727305954279639,0.72481884057971,0.731865284974093,0.722733245729304,0.721311475409836,0.720563919807525,0.71875,0.727743586342532,0.735511232051876,0.739957716701903,0.752619596225587,0.781525195694716,0.762094102054341,0.75,0.75274822736147,0.766567754698319,0.760483112528623,0.771734693014185,0.777937880243356,0.801037832703603,0.829775845410628,0.853041049335357,0.869360902255639,0.866459627329193,0.850356750823271,0.858032378580324,0.953678474114441,1.01696428571429,0.989304812834225,0.973741794310722,1.03,1.0161427357689,1.01330452272233,0.973830293417922,0.873573309920983,0.883177570093458,0.921391485615144,0.995563637789014,0.993470720804718,1.02510460251046,1.05752562044697,1.07179487179487,1.09013398294762,1.06882591093117,1.06995884773663,1.07001972386588,1.07986688851913,1.08864623336006
"San Antonio","TX","San Antonio","Bexar",7,,,,,,,,,,,,,,,,,,,,,,,,,,,1.10440111845417,0.989189189189189,0.989477394380518,0.99875,0.973180076628352,0.953846153846154,0.950522789912066,0.9375,0.968956497797357,1.03360845641471,1.056602969815,1.06634615384615,1.07719928186715,1.07181054239878,1.12109061460842,1.10542736431589,1.08547008547009,1.09124760629091,1.09931245225363,1.12179487179487,1.13215536783326,1.10884649709951,1.12122090441173,1.09538784067086,1.09154929577465,1.09308390567216,1.10679611650485,1.12980769230769,1.1387796839012,1.14148878635772,1.13860248976489,1.16854908774978,1.16759776536313,1.17460562414266,1.16539196940727,1.20060790273556,1.18926553672316,1.1805343047966,1.20622498385498,1.19971264367816,1.21681415929204,1.22641509433962,1.165,1.20530387149308,1.14827067142757,1.19090909090909,1.18595041322314,1.19094339622642,1.20529801324503,1.25158227848101,1.24688279301746,1.2328583727938,1.22807751980371
"San Diego","CA","San Diego","San Diego",8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.80909090909091,1.74489087301587,1.94669118200343,1.95149692625225,1.9063091774052,1.90433082780185,1.99066146626078,2.06364513018322,2.08290902919213,2.10700757575758,2.11581001951854,2.1301652892562,2.17734604105572,2.20015637216575,2.1513353115727,2.19711538461538,2.2006151142355,2.17566608821705,2.23572938689218,2.23722275795564,2.29985163204748,2.31564121571534,2.34477219626168,2.35374452625205,2.33536585365854,2.36669213139801,2.38046247305507,2.35580666326456,2.34244946492271,2.32093663911846,2.32406602953953,2.34390009606148,2.3582966226138,2.38956714761376,2.37678607879159,2.42871189773845,2.36164383561644,2.35454545454545,2.32051282051282,2.4046839827559,2.48108108108108,2.5176125900781,2.57328638497653,2.5711743772242,2.58796296296296,2.56555295242793,2.55510510163166
"Dallas","TX","Dallas-Fort Worth","Dallas",9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.39227942080291,1.43743722543649,1.45890131192567,1.43736151974138,1.39284028058816,1.36666666666667,1.38206990172104,1.41410040431267,1.46175373134328,1.38831380568144,1.2715715804394,1.39397786378091,1.39079477332334,1.45462270889563,1.44825072886297,1.46046852122987,1.48165983374482,1.47517188693659,1.51046511627907,1.47058823529412,1.48757016840417,1.49303621169916,1.51216216216216,1.53925844863076,1.57318805488297,1.54434782608696,1.56374142289635,1.57676348547718,1.59676110917429,1.55622489959839,1.65685372585097,1.62344983089064,1.53066950464396,1.52213714077621,1.62941176470588,1.61398353514104,1.63793103448276,1.63934426229508,1.66005636778631,1.67777777777778,1.67785234899329,1.70425135345455
"San Jose","CA","San Jose","Santa Clara",10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.45283018867925,2.50440711339887,2.53169469598965,2.58624186922287,2.66591769972452,2.64044943820225,2.74699907663897,2.79844290657439,2.78026254523531,2.77825711820535,2.80538302277433,2.81555100151146,2.86757546251217,2.90017739326806,2.97403279533983,3.01007556675063,3.09204018973378,3.14090993242618,3.14102564102564,3.13658536585366,3.11226194453725,3.07947255880257,3.09896352518028,3.12590025015028,3.08383233532934,3.01343570057582,2.96911196911197,2.98056155507559,3.12,2.98802395209581,2.96153846153846,2.86139534883721,2.83745824476162,2.81015300211272,2.99116347569956,3.00307791946478,3.02407002188184,3.01969365426696,3.03005626677679,3.06733047932115,3.05105973025048,2.97582697201018
