"RegionName","State","Metro","CountyName","SizeRank","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08"
"Washington","DC","Washington","District of Columbia",21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3150,3075,2950,3000,2970,2800,2750,2547.5,2800,2800,2800,2975,3400,3450,3200,3000,2850,2875,3000,3200,3494,3200,3410,3250,3500,3550,3200,3400,3050,3095,3097.5,3147.5,3500,3600,3500,3450,3675,3800
"Nashville","TN","Nashville","Davidson",22,,,,,,,,,,,,,,,,,,,,,,,,,1525,1600,1750,1600,1600,1600,1500,1500,1500,1500,1500,1500,1600,1650,1750,1600,1685,1625,1700,1662.5,1695,1600,1550,1595,1437.5,1400,1450,1695,1762.5,1775,1697.5,1700,1622.5,1625,1700,1750,1712.5,1650,1800,1800,1825,1850,1795,1775,1825,1762.5,1750,1800,1700,1950,1825,1995,1900,1900,1900,1812.5,1725,1800,1800,1850,1912.5,1825,1895,2050,1962.5,1975,1995
"Milwaukee","WI","Milwaukee","Milwaukee",23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,850,800,850,900,925,900,895,895,900,925,995,967.5,1025,1025,1000,925,950,797.5,850,899.5,990.5,925,1000,1025,1000,1000,900,985,995,947.5
"Tucson","AZ","Tucson","Pima",24,,,,,,,,,,,1150,1225,1297.5,1200,1200,1285,1250,1275,1250,1225,1225,1212.5,1200,1250,1300,1300,1300,1350,1300,1295,1262.5,1200,1200,1199,1150,1125,1200,1250,1295,1195,1172.5,1195,1150,1195,1195,1195,1200,1150,1150,1150,1200,1225,1295,1225,1200,1200,1200,1200,1200,1199.5,1250,1325,1300,1395,1250,1200,1200,1225,1200,1250,1200,1237.5,1225,1350,1295,1295,1200,1295,1262.5,1197.5,1195,1240,1200,1412.5,1395,1500,1687.5,1650,1500,1500,1450
"Portland","OR","Portland","Multnomah",25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2400,2495,2495,2447.5,2350,2150,2197.5,2195,2222.5,2195,2145,2172.5,2275,2197.5,2300,2297.5,2197.5,2147.5,2195,2395,2295,2397.5,2400,2500,2400,2495
"Oklahoma City","OK","Oklahoma City","Oklahoma",26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1395,1400,1395,1345,1295,1250,1297.5,1395,1395,1395,1395,1350,1350,1372.5,1350,1345,1395,1400,1495,1495,1425,1495,1442.5,1395,1350,1395,1395,1395,1400,1350,1345,1320,1395,1295,1295,1285,1200,1145,1275,1250,1300,1237.5,1225,1200,1250,1250,1250
"Fresno","CA","Fresno","Fresno",27,,,,,,,,,,,,,,,,,,,1695,1685,1595,1350,1337.5,1312.5,1225,1200,1100,1050,1000,1085,1189.5,1200,1150,1125,1100,1072.5,1100,1200,1200,1195,1212.5,1200,1250,1350,1325,1300,1395,1300,1300,1300,1300,1295,1300,1412.5,1400,1495,1450,1450,1350,1350,1350,1350,1337.5,1395,1400,1462.5,1495,1495,1550,1450,1397.5,1397.5,1337.5,1397.5,1500,1495,1650,1497.5,1437.5,1472.5,1400,1495,1400,1550,1595,1650,1600,1595,1525,1565,1655
"Sacramento","CA","Sacramento","Sacramento",28,,,,,,,,,,,,,1295,1250,1250,1287.5,1300,1295,1450,1395,1395,1350,1295,1295,1300,1300,1350,1350,1350,1350,1350,1395,1350,1385,1390,1395,1350,1350,1350,1350,1300,1300,1395,1325,1375,1350,1395,1325,1362.5,1350,1350,1417,1425,1427.5,1400,1400,1400,1400,1400,1400,1450,1472,1495,1485,1495,1497,1495,1457,1495,1495,1495,1497,1550,1520,1495,1572.5,1650,1695,1525,1495,1550.5,1497,1500,1670,1725,1575,1672.5,1737.5,1737.5,1890,1785
"Mesa","AZ","Phoenix","Maricopa",29,,,,,,,,,,1500,1395,1395,1395,1450,1475,1450,1342.5,1350,1300,1350,1375,1350,1250,1397,1347.5,1300,1395,1462.5,1400,1395,1395,1400,1395,1350,1297,1295,1336.5,1375,1395,1325,1300,1325,1295,1365,1375,1395,1397.5,1350,1350,1375,1375,1400,1350,1325,1400,1400,1362.5,1395,1470,1395,1450,1397.5,1400,1450,1425,1472.5,1472.5,1395,1425,1395,1450,1397.5,1452.5,1472.5,1485,1472.5,1437.5,1450,1495,1400,1400,1397.5,1395,1545,1550,1550,1547.5,1585,1550,1526,1495
"Virginia Beach","VA","Virginia Beach","Virginia Beach City",30,1742.5,1790,1800,1800,1950,1995,1950,1800,1750,1800,1800,1712.5,1750,1825,1850,1895,1850,1850,1800,1725,1750,1700,1700,1750,1795,1800,1850,1750,1795,1800,1795,1795,1782.5,1750,1700,1700,1750,1795,1795,1795,1795,1800,1750,1750,1750,1750,1750,1750,1700,1700,1700,1850,1850,1800,1800,1800,1800,1795,1800,1795,1797.5,1795,1850,1895,1862.5,1850,1800,1785,1750,1700,1750,1795,1800,1850,1850,1850,1800,1800,1850,1800,1795,1750,1800,1795,1800,1825,1850,1850,1900,1900,1895
