"RegionName","State","Metro","CountyName","SizeRank","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08"
"Chicago","IL","Chicago","Cook",1,,,,,,,1.01549053356282,1.04,1.06696428571429,1.24895833333333,1.28267351983364,1.19583333333333,1.21212121212121,1.17954545454545,1.13322939337019,0.999875,0.96969696969697,0.999875,0.989583333333333,1.09839203675345,1.03264490339773,1.1,1.12475,1.09083333333333,1.08333333333333,1.09839203675345,1.09839203675345,1,0.985436893203884,1.09919601837672,1.08653846153846,1.0596926713948,1.03610807263181,1.11054641925329,1.06941176470588,1.01851851851852,0.9875,1.04265569167943,1.04265569167943,0.980769230769231,0.944444444444444,0.91875,0.892522327619682,0.9,0.943236714975845,1.10597958191541,1.22222222222222,1.09259259259259,1.20212335692619,1.12005662829558,1.1,1.1,1.04761904761905,1.05714285714286,1,1.1,1.22222222222222,1.22312373225152,1.16666666666667,1.20394736842105,1.21505847953216,1.09631589261219,1.09357593761604,1.12019230769231,1.10743151267654,1.13068181818182,1.07746153846154,1.04464285714286,1.04166666666667,1.195,1.22448979591837,1.2475,1.1,1.11111111111111,1.14802149487054,0.973684210526316,0.999615384615385,1.10757015742642,1.125,1.12201963534362,1.13961038961039,1.27272727272727,1.34274076930493,1.33850530126713,1.32159090909091
"Houston","TX","Houston","Harris",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.874214879142534,0.788423001828297,0.807129590738668,0.774838356671111,0.752587017873942,0.736235595390525,0.785129460475064,0.7639829166388,0.749551637669552,0.81712300776461,0.857142857142857,0.777204680340476,0.745140415346471,0.795526880664382,0.835763009889137,0.787886849339363,0.744920993227991,0.704908891987984,0.738089460486937,0.837070254110613,0.731536926147705,0.705354280218019,0.738386320131036,0.765961199294533,0.804455445544555,0.798753020638478,0.779293069858057
"Philadelphia","PA","Philadelphia","Philadelphia",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0349025974026,1.16997384003894,1.20890200832061,1.22847629521017,1.19565217391304,1.19306418219462,1.17241379310345,1.17521367521368,1.19217930376729,1.19258087995382,1.18192274022612,1.19878361561343
"Phoenix","AZ","Phoenix","Maricopa",4,,,,0.708820882088209,0.713767299986845,0.687960687960688,0.666207213416035,0.632682574114244,0.603491799362735,0.618811881188119,0.649340961250796,0.624285096331496,0.602167804094741,0.567150635208711,0.565546616185518,0.558732092081509,0.533858136517368,0.573906673097621,0.589278675601104,0.592189500640205,0.56791292001893,0.585849481748535,0.597072879330944,0.589105979869745,0.606225936123659,0.578135949544499,0.581078627201743,0.595238095238095,0.588235294117647,0.581558376781776,0.575209600526056,0.591249507292077,0.647067302412417,0.651890482398957,0.591249507292077,0.648479427549195,0.600779827259547,0.634249471458774,0.650184954974076,0.580352995819786,0.592232805729709,0.562372188139059,0.566208718400287,0.562372188139059,0.566871064897011,0.623406935288123,0.664398716672198,0.626820388349515,0.641061452513967,0.641061452513967,0.621882793017456,0.602879955514705,0.631067961165049,0.613287904599659,0.633406363892203,0.607996702390767,0.61751497005988,0.676757239640913,0.652819067925678,0.680218021376913,0.666666666666667,0.665742024965326,0.655409836065574,0.651678998292544,0.71013756644407,0.753012048192771,0.687568756875688,0.688731081951464,0.659552122651431,0.654940119760479,0.643069976928865,0.688899116731678,0.66,0.656324582338902,0.634249471458774,0.656265129933832,0.614250614250614,0.712892249725961,0.766009854417118,0.768459739391914,0.780536627456699,0.703741006175973,0.689106811555791,0.635514018691589,0.710306106148654
"Las Vegas","NV","Las Vegas","Clark",5,0.625205680969783,0.650195058517555,0.707371556217424,0.679610378582488,0.664130548126702,0.631199278629396,0.622633103141011,0.634707838975638,0.668279970215934,0.657142857142857,0.65173116089613,0.655323062773051,0.667273278738247,0.653261333062495,0.642300755845947,0.624056908816555,0.647899910634495,0.6442417331813,0.630253999819217,0.630630630630631,0.622546752131104,0.615313907870555,0.621380846325167,0.614927905004241,0.612959719789842,0.620834634158647,0.605004101722724,0.604921405700071,0.613413304252999,0.610230495957058,0.599398722284855,0.606796116504854,0.61372635283766,0.607782388455859,0.606194886035902,0.613298966419011,0.620309300211237,0.619793129446998,0.617474115977769,0.615785615016333,0.620620533304731,0.626405396723418,0.622100471606379,0.621875,0.627282248973998,0.632911392405063,0.627205208421304,0.634632819582956,0.624062031015508,0.641117998421204,0.624721106648818,0.61472602739726,0.613496932515337,0.614113443501563,0.616269515201315,0.636941741732517,0.638600798715965,0.623052959501558,0.63430245400709,0.643695939010824,0.649691279109692,0.640167364016736,0.633048744627457,0.63622754491018,0.648119176313094,0.652072659524918,0.658024417345929,0.669329723130501,0.667979670900232,0.68307181053346,0.685933268639041,0.662332973278733,0.686274509803922,0.658556093338702,0.664213787761425,0.660030431149524,0.638884774574798,0.662576687116564,0.658090328605569,0.687328167958011,0.701433792521788,0.713700500642386,0.707070310097373,0.707748380153685,0.706827327477359
"San Antonio","TX","San Antonio","Bexar",6,,,,,,,,,,0.62778505897772,0.623700623700624,0.60703272983569,0.590851334180432,0.608695652173913,0.643139841688654,0.542635658914729,0.536877310332688,0.552579795666004,0.590868189592812,0.6428219801524,0.613449691991786,0.60619872379216,0.595860465817783,0.577919344964799,0.576096694351221,0.556242112885709,0.557382439986846,0.576166920345003,0.552074007758878,0.57427258805513,0.590851334180432,0.580766028309742,0.591610605461021,0.603280194818275,0.653714561761607,0.64773038479385,0.619769408831909,0.615147361206306,0.596846846846847,0.595238095238095,0.6004828002414,0.584219559853127,0.576253481100859,0.578703703703704,0.58659217877095,0.623668999087314,0.620501365103003,0.625244382677499,0.632920989807573,0.592738472949512,0.59269268381678,0.578703703703704,0.6004828002414,0.60195344053608,0.623162135716457,0.639499389499389,0.625,0.618870814157543,0.603424080830761,0.614064267313362,0.618913280680558,0.6004828002414,0.594325153374233,0.578703703703704,0.603424080830761,0.615219743747519,0.594325153374233,0.645577792123951,0.62467464862051,0.6004828002414,0.655532716683796,0.678401173450678,0.625601539942252,0.670448713523107,0.603424080830761,0.657451112609575,0.6004828002414,0.647511720387757,0.667585663647105,0.657880307065643,0.665495334154306,0.662832929782082,0.669099756690998,0.679304185416724,0.662778366914104
"San Diego","CA","San Diego","San Diego",7,,,,,,,,,1.13636363636364,1.21817883253755,1.25224871713919,1.22710907863544,1.20183832181054,1.15173221216787,1.16135084427767,1.25023492786552,1.23705408515535,1.19453019036875,1.12531969309463,1.19359058207979,1.07902236398754,1.10441767068273,1.15603171067911,1.08416023520764,1.0529089376054,1.03648424543947,1.02559193372199,1.01743181804921,1.03170911714546,1.09795213422156,1.08012568735271,1.07358870967742,1.14876385336743,1.15141047783535,1.1744060475162,1.24182568423269,1.25802997858672,1.26182498608926,1.24427917620137,1.20697187094259,1.25402124714772,1.24295657938349,1.22500852405916,1.19760479041916,1.19667997478462,1.26572138920096,1.2656199935918,1.31204338498927,1.264047521746,1.2656199935918,1.27002735443533,1.2656199935918,1.28031407637259,1.43039010639265,1.41303682853051,1.35017045518598,1.39111824505083,1.38063975129873,1.41206675224647,1.3070776956242,1.37590204206971,1.28516313521501,1.31979734195938,1.28913443830571,1.27378668397758,1.3249895208834,1.30614863843886,1.27484871666947,1.28454283848971,1.34259259259259,1.24000533226942,1.34490729043421,1.37826222538453,1.38689283744157,1.2656199935918,1.39505545340237,1.39130434782609,1.56020558002937,1.59923156494754,1.56153117955341,1.47962962962963,1.54088535514607,1.64979979515799,1.57219720747813,1.52474108170311
"Virginia Beach","VA","Virginia Beach","Virginia Beach City",8,,,,,,,,,,,,,,,,,,,,,0.844176968119714,0.841939829366861,0.783762057877814,0.753465943339361,0.737479320175194,0.758620689655172,0.731512945786146,0.759212976349168,0.733220530174845,0.751902434600795,0.743089289827473,0.773281596452328,0.786885245901639,0.832387438516837,0.832387438516837,0.817884405670665,0.761654016518072,0.749183157274593,0.739644970414201,0.745209368346345,0.739644970414201,0.71771978021978,0.730586915784324,0.750750750750751,0.791557038853094,0.811148317550265,0.80672268907563,0.781768511119243,0.776085547634478,0.755582137161085,0.764627659574468,0.73007111246549,0.725338491295938,0.736258376835679,0.715578392986122,0.776588845654994,0.816485225505443,0.776085547634478,0.795842634372399,0.753465943339361,0.73608316566063,0.72250659602523,0.722177294386549,0.721029047283773,0.726062143310082,0.733137829912023,0.742240215924426,0.795856493178373,0.815681902638424,0.758283918277807,0.79646017699115,0.781804799190494,0.791139240506329,0.805404001039231,0.775833608451634,0.756143667296786,0.791666666666667,0.80520909757887,0.759937646141855,0.776588845654994,0.785448532451426,0.817964480874317,0.832677626512897,0.832554170332434,0.813860198237718
"Colorado Springs","CO","Colorado Springs","El Paso",9,,,,,,,,,,,0.589242546333602,0.566766317887394,0.55859907817668,0.543135568930926,0.556660039761431,0.540197013028281,0.546875,0.546371532642197,0.530262365947273,0.519426553085394,0.561627200971463,0.559662668742578,0.556660039761431,0.560781476121563,0.555555555555556,0.547263094903174,0.541928123217342,0.552242102937928,0.556660039761431,0.557410171700318,0.539383561643836,0.556660039761431,0.559986816084377,0.560498316878093,0.559592328211876,0.55547744031996,0.568828213879408,0.56971203646157,0.540540540540541,0.553426990208599,0.556295548775613,0.559380378657487,0.558736358785872,0.571131879543095,0.574966828836798,0.58125,0.583784026987129,0.582421864128468,0.562783357141826,0.564717488288613,0.559380378657487,0.560247573990845,0.572831423895254,0.591190789075845,0.593824228028504,0.597317784478467,0.604535290584299,0.606950069850832,0.594285063028106,0.594367227505486,0.598597845087826,0.589910496338487,0.608272506082725,0.599624060150376,0.559749935407907,0.571725571725572,0.590277777777778,0.598034515819751,0.608476707432682,0.599161174355902,0.62862669245648,0.566001860393367,0.599161174355902,0.60153293661541,0.565463244889082,0.559380378657487,0.590789473684211,0.638297872340426,0.642466329159542,0.645187338501292,0.645588235294118,0.673076923076923,0.671440706288643,0.660854893138358,0.648148148148148
"Pittsburgh","PA","Pittsburgh","Allegheny",10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.466315792136992,0.476607331200057,0.439698492462312,0.469682689286836,0.42156862745098,0.4475,0.417087967644085,0.384836239729933,0.425170068027211,0.412912912912913,0.456809791911568,0.530081508456633,0.476855546687949,0.443686006825939,0.439787875581887,0.459275843162615,0.432981927710843,0.43958742632613,0.428054000658545,0.425843620196955,0.405137864753683
