Feb-13,3.53 
Mar-13,3.57 
Apr-13,3.45 
May-13,3.54 
Jun-13,4.07 
Jul-13,4.37 
Aug-13,4.46 
Sep-13,4.49 
Oct-13,4.19 
Nov-13,4.26 
Dec-13,4.46 
Jan-14,4.43 
Feb-14,4.30 
Mar-14,4.34 
Apr-14,4.34 
May-14,4.19 
Jun-14,4.16 
Jul-14,4.13 
Aug-14,4.12 
Sep-14,4.16 
Oct-14,4.04 
Nov-14,4.00 
Dec-14,3.86 
Jan-15,3.67
Feb-15,3.71
Mar-15,3.77
Apr-15,3.67
May-15,3.84
Jun-15,3.98
Jul-15,4.05
Aug-15,3.91
Sep-15,3.89
Oct-15,3.80
Nov-15,3.94
Dec-15,3.96
Jan-16,3.87
Feb-16,3.66
Mar-16,3.69
Apr-16,3.61
May-16,3.60
Jun-16,3.57
Jul-16,3.44
Aug-16,3.44
Sep-16,3.46
Oct-16,3.47
Nov-16,3.77
Dec-16,4.20
Jan-17,4.15
Feb-17,4.17
Mar-17,4.20
Apr-17,4.05
May-17,4.01
Jun-17,3.9
Jul-17,3.97
Aug-17,3.88
Sep-17,3.81
